stress,strain,T,strainrate,porosity
2330.1170525911566,0.2096,20,500,0
2333.130934622009,0.2101,20,500,0
2336.1458462208575,0.2106,20,500,0
2339.1617852934587,0.2111,20,500,0
2342.178749754781,0.2116,20,500,0
2345.196737528942,0.2121,20,500,0
2348.2157465491487,0.2126,20,500,0
2351.2357747576325,0.2131,20,500,0
2354.256820105593,0.2136,20,500,0
2357.278880553134,0.2141,20,500,0
2360.301954069209,0.2146,20,500,0
2363.3260386315565,0.2151,20,500,0
2366.3511322266468,0.2156,20,500,0
2369.3772328496198,0.2161,20,500,0
2372.4043385042323,0.2166,20,500,0
2375.432447202796,0.2171,20,500,0
2378.461556966126,0.2176,20,500,0
2381.4916658234815,0.2181,20,500,0
2384.522771812513,0.2186,20,500,0
2387.5548729792054,0.2191,20,500,0
2390.587967377823,0.2196,20,500,0
2393.622053070861,0.2201,20,500,0
2396.657128128985,0.2206,20,500,0
2399.6931906309824,0.2211,20,500,0
2402.7302386637093,0.2216,20,500,0
2405.7682703220376,0.2221,20,500,0
2408.8072837088025,0.2226,20,500,0
2411.847276934756,0.2231,20,500,0
2414.8882481185096,0.2236,20,500,0
2417.9301953864892,0.2241,20,500,0
2420.973116872883,0.2246,20,500,0
2424.017010719593,0.2251,20,500,0
2427.061875076186,0.2256,20,500,0
2430.107708099843,0.2261,20,500,0
2433.154507955315,0.2266,20,500,0
2436.202272814872,0.2271,20,500,0
2439.2510008582562,0.2276,20,500,0
2442.3006902726374,0.2281,20,500,0
2445.3513392525642,0.2286,20,500,0
2448.402945999917,0.2291,20,500,0
2451.455508723865,0.2296,20,500,0
2454.50902564082,0.2301,20,500,0
2457.56349497439,0.2306,20,500,0
2460.6189149553365,0.2311,20,500,0
2463.675283821529,0.2316,20,500,0
2466.732599817901,0.2321,20,500,0
2469.7908611964076,0.2326,20,500,0
2472.850066215983,0.2331,20,500,0
2475.9102131424947,0.2336,20,500,0
2478.971300248704,0.2341,20,500,0
2482.033325814223,0.2346,20,500,0
2485.0962881254727,0.2351,20,500,0
2488.1601854756404,0.2356,20,500,0
2491.225016164642,0.2361,20,500,0
2494.2907784990784,0.2366,20,500,0
2497.3574707921957,0.2371,20,500,0
2500.4250913638466,0.2376,20,500,0
2503.4936385404476,0.2381,20,500,0
2506.563110654943,0.2386,20,500,0
2509.6335060467645,0.2391,20,500,0
2512.7048230617906,0.2396,20,500,0
2515.7770600523136,0.2401,20,500,0
2518.8502153769928,0.2406,20,500,0
2521.9242874008255,0.2411,20,500,0
2524.9992744951032,0.2416,20,500,0
2528.075175037379,0.2421,20,500,0
2531.151987411425,0.2426,20,500,0
2534.2297100072033,0.2431,20,500,0
2537.308341220821,0.2436,20,500,0
2540.387879454502,0.2441,20,500,0
2543.468323116547,0.2446,20,500,0
2546.549670621296,0.2451,20,500,0
2549.6319203891,0.2456,20,500,0
2552.7150708462796,0.2461,20,500,0
2555.799120425091,0.2466,20,500,0
2558.8840675636984,0.2471,20,500,0
2561.9699107061297,0.2476,20,500,0
2565.056648302249,0.2481,20,500,0
2568.1442788077225,0.2486,20,500,0
2571.232800683984,0.2491,20,500,0
2574.3222123982023,0.2496,20,500,0
2577.412512423247,0.2501,20,500,0
2580.5036992376586,0.2506,20,500,0
2583.595771325614,0.2511,20,500,0
2586.688727176896,0.2516,20,500,0
2589.7825652868587,0.2521,20,500,0
2592.877284156399,0.2526,20,500,0
2595.972882291925,0.2531,20,500,0
2599.0693582053223,0.2536,20,500,0
2602.1667104139265,0.2541,20,500,0
2605.2649374404887,0.2546,20,500,0
2608.36403781315,0.2551,20,500,0
2611.464010065406,0.2556,20,500,0
2614.564852736081,0.2561,20,500,0
2617.666564369297,0.2566,20,500,0
2620.769143514442,0.2571,20,500,0
2623.8725887261453,0.2576,20,500,0
2626.976898564245,0.2581,20,500,0
2630.0820715937575,0.2586,20,500,0
2633.188106384856,0.2591,20,500,0
2636.295001512833,0.2596,20,500,0
2639.4027555580797,0.2601,20,500,0
2642.511367106054,0.2606,20,500,0
2645.6208347472516,0.2611,20,500,0
2648.731157077185,0.2616,20,500,0
2651.8423326963457,0.2621,20,500,0
2654.9543602101876,0.2626,20,500,0
2658.0672382290936,0.2631,20,500,0
2661.1809653683504,0.2636,20,500,0
2664.2955402481225,0.2641,20,500,0
2667.4109614934246,0.2646,20,500,0
2670.527227734097,0.2651,20,500,0
2673.644337604779,0.2656,20,500,0
2676.762289744882,0.2661,20,500,0
2679.8810827985653,0.2666,20,500,0
2683.00071541471,0.2671,20,500,0
2686.121186246895,0.2676,20,500,0
2689.242493953367,0.2681,20,500,0
2692.364637197025,0.2686,20,500,0
2695.4876146453853,0.2691,20,500,0
2698.611424970564,0.2696,20,500,0
2701.7360668492497,0.2701,20,500,0
2704.8615389626802,0.2706,20,500,0
2707.987839996617,0.2711,20,500,0
2711.114968641324,0.2716,20,500,0
